CLUES,Clave_Institucion,Institucion,Clave_Entidad,Entidad,CLAVE DEL MUNICIPIO,MUNICIPIO,CLAVE DE LA LOCALIDAD,LOCALIDAD,NOMBRE DE LA UNIDAD,LATITUD,LONGITUD,Observaciones
NLSSA014295,SSA,SECRETARIA DE SALUD,19,NUEVO LEON,026,GUADALUPE,0001,GUADALUPE,HOSPITAL REGIONAL MATERNO INFANTIL,25.694464,-100.223444,
NTSSA001594,SSA,SECRETARIA DE SALUD,18,NAYARIT,017,TEPIC,0001,TEPIC,HOSPITAL CIVIL DR. ANTONIO GONZÁLEZ GUEVARA,21.5010461,-104.897629,
NTSSA002084,SSA,SECRETARIA DE SALUD,18,NAYARIT,020,BAHIA DE BANDERAS,0081,SAN FRANCISCO,HOSPITAL GENERAL SAN FRANCISCO,20.9007233,-105.4103064,
NTSSA002212,SSA,SECRETARIA DE SALUD,18,NAYARIT,017,TEPIC,0001,TEPIC,CENTRO ESTATAL DE CANCEROLOGÍA,21.5013648,-104.8973839,
OCSSA000985,SSA,SECRETARIA DE SALUD,20,OAXACA,067,OAXACA DE JUAREZ,0001,OAXACA DE JUAREZ,HG OAXACA DR. AURELIO VALDIVIESO,17.0820483,-96.7181727,
OCSSA001463,SSA,SECRETARIA DE SALUD,20,OAXACA,115,SAN BARTOLO COYOTEPEC,0001,SAN BARTOLO COYOTEPEC,HE DE LA NIÑEZ OAXAQUEÑA,16.9465851,-96.71092,
OCSSA002146,SSA,SECRETARIA DE SALUD,20,OAXACA,184,SAN JUAN BAUTISTA TUXTEPEC,0001,SAN JUAN BAUTISTA TUXTEPEC,HG TUXTEPEC,18.0873646,-96.1294493,
OCSSA007483,SSA,SECRETARIA DE SALUD,20,OAXACA,115,SAN BARTOLO COYOTEPEC,0001,SAN BARTOLO COYOTEPEC,HOSPITAL REGIONAL DE ALTA ESPECIALIDAD DE OAXACA,16.948091,-96.713217,
PLHUN000010,HUN,SERVICIOS MEDICOS UNIVERSITARIOS,21,PUEBLA,114,PUEBLA,0001,HEROICA PUEBLA DE ZARAGOZA,HOSPITAL UNIVERSITARIO DE PUEBLA,19.0400009,-98.2133055,
PLSME000020,SME,SERVICIOS MEDICOS ESTATALES,21,PUEBLA,114,PUEBLA,0001,HEROICA PUEBLA DE ZARAGOZA,HOSPITAL PARA EL NIÑO POBLANO,19.0453,-98.1975,
